coimbatore_living_costsres_id,name,establishment,url,address,city,city_id,locality,latitude,longitude,zipcode,country_id,locality_verbose,cuisines,timings,average_cost_for_two,price_range,currency,highlights,aggregate_rating,rating_text,votes,photo_count,opentable_support,delivery,takeaway
3000151,Cock Ra Co,['Quick Bites'],https://www.zomato.com/coimbatore/cock-ra-co-sivanadha-colony?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"3/5, Raju Naidu Street, Opposite Coimbatore Corporation Shopping, Sivanadha Colony, Coimbatore",Coimbatore,30,Sivanadha Colony,11.0206426045,76.95932172239999,,1,"Sivanadha Colony, Coimbatore","North Indian, Chinese, South Indian","12 Noon to 3 PM, 6 PM to 11 PM",500,2,Rs.,"['No Alcohol Available', 'Cash', 'Takeaway Available', 'Credit Card', 'Dinner', 'Debit Card', 'Lunch', 'Delivery', 'Air Conditioned', 'Indoor Seating', 'Digital Payments Accepted']",3.9,Good,157,14,0,-1,-1
3001913,Meat And Eat,['Quick Bites'],https://www.zomato.com/coimbatore/meat-and-eat-sitra?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"Shop 12/2A, RVM Complex, Near PSG Arts College, Avinashi Road, Sutra, Sitra, Coimbatore",Coimbatore,30,Sitra,11.0358041905,77.0353264734,,1,"Sitra, Coimbatore",Fast Food,11 AM to 11 PM,350,2,Rs.,"['Takeaway Available', 'Credit Card', 'Delivery', 'Dinner', 'Lunch', 'Cash', 'No Alcohol Available', 'Debit Card', 'Indoor Seating', 'Axis Bank - Dining Delights']",3.8,Good,128,44,0,1,-1
18434000,24 Plus Cafe & Restaurant,['Quick Bites'],https://www.zomato.com/coimbatore/24-plus-cafe-restaurant-podanur?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"1A, Pollachi Main Road, Eachanari, Podanur, Coimbatore",Coimbatore,30,Podanur,10.9278461399,76.9816172495,,1,"Podanur, Coimbatore","Continental, Fast Food, Desserts, Indian",11 AM to 11 PM,450,2,Rs.,"['Lunch', 'Cash', 'Takeaway Available', 'Debit Card', 'Credit Card', 'Delivery', 'Breakfast', 'No Alcohol Available', 'Digital Payments Accepted', 'Free Parking', 'Indoor Seating', 'Desserts and Bakes', 'Outdoor Seating', 'Kid Friendly']",3.9,Good,73,132,0,-1,-1
3000031,Hotel Muthu Rowther - Biryani Hut,['Quick Bites'],https://www.zomato.com/coimbatore/hotel-muthu-rowther-biryani-hut-rs-puram?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"5, Near Annapoorna, E Arokiasamy Road, RS Puram, Coimbatore",Coimbatore,30,RS Puram,11.006814446199998,76.9522601366,,1,"RS Puram, Coimbatore","Biryani, South Indian, Grill, BBQ, Indian, Middle Eastern, Seafood",12 Noon to 10:30 PM,350,2,Rs.,"['Credit Card', 'Lunch', 'No Alcohol Available', 'Takeaway Available', 'Cash', 'Debit Card', 'Dinner', 'Delivery', 'Halal', 'Free Parking', 'Indoor Seating', 'Kid Friendly', 'Wheelchair Accessible', 'Air Conditioned', 'Disabled Friendly']",3.8,Good,165,27,0,-1,-1
3001644,Meat And Eat,['Quick Bites'],https://www.zomato.com/coimbatore/meat-and-eat-rs-puram?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"40 A, Subramaniam Road, Near Gandhipark, RS Puram, Coimbatore",Coimbatore,30,RS Puram,11.0019705868,76.9505800679,,1,"RS Puram, Coimbatore",Fast Food,11 AM to 1 AM,350,2,Rs.,"['No Alcohol Available', 'Dinner', 'Takeaway Available', 'Lunch', 'Cash', 'Delivery', 'Credit Card', 'Axis Bank - Dining Delights', 'Wifi', 'Indoor Seating', 'Air Conditioned']",3.7,Good,179,51,0,-1,-1
3000153,Cock Ra Co,['Quick Bites'],https://www.zomato.com/coimbatore/cock-ra-co-kavundampalayam?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"34/2A, M.T.P Road, Near Canara Bank, Kavundampalayam, Coimbatore",Coimbatore,30,Kavundampalayam,11.047032382100001,76.9469989836,,1,"Kavundampalayam, Coimbatore","North Indian, Chinese, South Indian","9:50 AM a 10:10 AM (Seg),10 AM a 8 PM (Ter-Dom)",500,2,Rs.,"['Dinner', 'Delivery', 'Lunch', 'Credit Card', 'Indoor Seating', 'Air Conditioned']",3.8,Good,108,10,0,0,-1
3001741,Hotel Brother's,['Quick Bites'],https://www.zomato.com/coimbatore/hotel-brothers-gandhipuram?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"5, SA Lodge Building, Dr.Rajendra Prasad Road, Power House, Tatabad, Gandhipuram, Coimbatore",Coimbatore,30,Gandhipuram,11.018659812000001,76.9570995122,,1,"Gandhipuram, Coimbatore",Biryani,11 AM to 10:30 PM,200,1,Rs.,"['Cash', 'Dinner', 'Takeaway Available', 'No Alcohol Available', 'Lunch', 'Indoor Seating']",3.8,Good,128,3,0,1,-1
3001999,Sita Paani,['Quick Bites'],https://www.zomato.com/coimbatore/sita-paani-podanur?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"8/79, Palakkad Main Road, Edayarpalaym Pirivu, Kuniamuthur, Podanur, Coimbatore",Coimbatore,30,Podanur,10.953659286099999,76.9534678012,,1,"Podanur, Coimbatore",North Indian,11 AM to 12 Midnight,500,2,Rs.,"['Cash', 'No Alcohol Available', 'Dinner', 'Credit Card', 'Takeaway Available', 'Lunch', 'Delivery', 'Outdoor Seating', 'Air Conditioned', 'Indoor Seating']",3.7,Good,121,15,0,1,-1
3001019,Santhi Social Services Canteen,['Quick Bites'],https://www.zomato.com/coimbatore/santhi-social-services-canteen-singanallur?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"128/2, (2249), Trichy Road, Singanallur, Coimbatore",Coimbatore,30,Singanallur,11.003224508299999,77.0390124992,,1,"Singanallur, Coimbatore",South Indian,"7 AM to 11 AM, 12 Noon to 4:30 PM, 5:30 PM to 9:30 PM",100,1,Rs.,"['Cash', 'No Alcohol Available', 'Dinner', 'Breakfast', 'Lunch', 'Pure Veg', 'Indoor Seating']",4.5,Excellent,165,2,0,-1,-1
3002023,Subway,['Quick Bites'],https://www.zomato.com/coimbatore/subway-saibaba-colony?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"10/1, 4th Cross, Bharathi Park, Saibaba Colony, Coimbatore",Coimbatore,30,Saibaba Colony,11.019789,76.942375,,1,"Saibaba Colony, Coimbatore","Fast Food, Healthy Food, Sandwich, Salad",11 AM to 11 PM (Mon-Sun),500,2,Rs.,"['Cash', 'Lunch', 'Delivery', 'Credit Card', 'Debit Card', 'No Alcohol Available', 'Dinner', 'Takeaway Available', 'Indoor Seating', 'Digital Payments Accepted', 'Air Conditioned']",4.2,Very Good,157,41,0,-1,-1
