Bus Number,Source,Destination,Departure Time,Arrival Time
76,Ukkadam,Chinnavedampatti,N/A,N/A
77,Town Hall,Edayarpalayam,N/A,N/A
77A,Ukkadam,Kannampalayam,N/A,N/A
77B,Ukkadam,Edayarpalayam,N/A,N/A
78,Gandhipuram,Thadagam,N/A,N/A
"78A,78B",Gandhipuram,Anaikatti,N/A,N/A
79,Selvapuram,Tudhiyalur,N/A,N/A
80,Edyarpalayam,Ondipudur,N/A,N/A
81,Gandhipuram,Serayampalayam,N/A,N/A
81,Gandhipuram,Ponne Goundan Pudur,N/A,N/A
81A,"Gandhipuram,",Kaduvetti,N/A,N/A
81A,Gandhipuram,Ponne Goundan Pudur,N/A,N/A
82A,Ukkadam,Vagarayam Palayam,N/A,N/A
82B,Gandhipuram,Semsampatti,N/A,N/A
84,Avarampalayam,Malumichampatti,N/A,N/A
84A,Gandhipuram,Malumichampatti,N/A,N/A
85,Ukkadam,Thadagam,N/A,N/A
86,Gandhipuram,Chinnavedampatti,N/A,N/A
87,Gandhipuram,Koil Palayam,N/A,N/A
88,R Kalyanamandapam,R Kalyanamandapam,N/A,N/A
"89,89A",Railway Station,Press Colony,N/A,N/A
90,Ukkadam,Government Poultry Farm,N/A,N/A
90A,Ukkadam,Somanur,N/A,N/A
"91,91A",KovaiPudur,Saibaba Colony,N/A,N/A
92,Maruthamalai,Cheranpalayam,N/A,N/A
93,lawley Road,Kulathur,N/A,N/A
94,Gandhipuram,Periyanaickampalayam,N/A,N/A
94A,PSG Arts College,Kalikanaickenpalayam,N/A,N/A
95,Gandhipuram,Singanallur,N/A,N/A
96,Gandhipuram,Valayar,N/A,N/A
9lq,Ukkadam,Chinna Thadagam,N/A,N/A
98,Ukkadam,Pachapalayam,N/A,N/A
98A,Ukkadam,Vagarayam Palayam,N/A,N/A
99,Gandhipuram,Thondamuthur,N/A,N/A
100,Ukkadam,Velanthavalarn,N/A,N/A
101,Gandhipuram,Kumittipathy,N/A,N/A
101A,Saibaba Colony,Kaliapuram,N/A,N/A
